source_row_id,original_material_label,candidate_material_label,candidate_series,response_endpoint_candidate,material_label_mapping_status,candidate_time_min,response_quality_status,source_article_section,source_order_mapping_status,series_evidence
3253,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,0,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3254,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,30,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3255,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,60,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3256,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,120,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3257,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,240,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3258,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,480,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3259,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,720,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3260,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,960,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3261,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,1440,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3262,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,0,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
3263,CB,CB,kinetics_pattern,Q_t_at_recorded_contact_time,raw_label_retained,30,nonnegative_capacity,2.4_kinetics,source_order_candidate_pending_table_or_figure_confirmation,source methods/Table 2--3 and contiguous workbook block order; source table/figure row IDs are not available in the XML export
